"URL","Collection Name","Collection Code","Institution Name","Institution Code","URL for collection","URL for collection's specimen catalog/database","URL for collection's webservices","Collection Description","Collection Content Type","Preservation Type","Accession Status","Status of Collection","Access Eligibility and Rules","Mailing Address 1","Mailing Address 2","Mailing Address 3","City/Town","State/Province","Postal/Zip Code","Country","Physical Address 1","Physical Address 2","Physical Address 3","City/Town","State/Province","Postal/Zip Code","Country","Primary Contact","LSID","Cool URI"
"http://grbio.org/institutional-collection/r-sherwood-algal-biodiversity-laboratory","A. R. Sherwood Algal Biodiversity Laboratory","ARS_HADB","University of Hawaii at Manoa","UHM","http://algae.manoa.hawaii.edu","http://algae.manoa.hawaii.edu","http://algae.manoa.hawaii.edu","The Hawaiian Algal DataBase (HADB) hosts the biodiversity collections data of the University of Hawaii Algal Biodiversity Laboratory. The collections include morphological vouchers (herbarium sheets, liquid or dried vouchers) and DNA extracts (stored at -80 deg C) for Hawaiian algae, with a focus on macroalgae.","","","Institutional","Active","","Department of Botany","3190 Maile Way","c/o Dr. Alison Sherwood","Honolulu","Hawaii","96822","USA","","","","","","","USA","Alison R. Sherwood","","http://grbio.org/cool/p6z3-1xtj"
"http://grbio.org/institutional-collection/acari-utrecht-collection","Acari - Utrecht Collection","ACA.UT","National Museum of Natural History, Naturalis","RMNH","http://science.naturalis.nl/collections/collections-in-naturalis/invertebrates/p...","","","Approximately 7000 vials and 1100 microscopic slides. Core of the collection: parasites from domesticated farm animals, pet animals, and parasites from wild/exotic/zoo animals collected at post mortem exams.","Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Institutional","Active","","Postbus 9517","","","Leiden","Zuid-Holland","2300 RA","Netherlands","Darwinweg 2","","","Leiden","Zuid-Holland","2333 CR","Netherlands","","","http://grbio.org/cool/c5xm-c4tv"
"http://grbio.org/institutional-collection/acari-collection","Acari collection","ACA","National Museum of Natural History, Naturalis","RMNH","http://science.naturalis.nl","","","Subcollections are ACA.A till ACA.G, ACA.X containing tubes with alcohol and ACA.P, ACA.PX containing slides","Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Institutional","Active","","Postbus 9517","","","Leiden","Zuid-Holland","2300 RA","Netherlands","Darwinweg 2","","","Leiden","Zuid-Holland","2333 CR","Netherlands","","","http://grbio.org/cool/jhne-yp4i"
"http://grbio.org/institutional-collection/acariformes","Acariformes","49","Australian National Insect Collection","ANIC","","","","Mites","Biological: Other or Undefined","Storage Environment: Other (please define)","Institutional","Active","","","","","","","","","","","","","","","","","","http://grbio.org/cool/7qfv-3k9x"
"http://grbio.org/institutional-collection/agrobacterium","Agrobacterium","GBA","Ginseng Resource Bank","GRB","http://www.ginsengbank.org","","","","Biological: Living cell or tissue cultures","Storage Environment: Other (please define)","Institutional","Active","","Aejiwon, Kyung Hee university","1 Seocheon-dong, Giheung-gu","","Yongin-si","Gyeonggi-do","446-701","South Korea","Aejiwon, Kyung Hee university","1 Seocheon-dong, Giheung-gu","","Yongin-si","Gyeonggi-do","446-701","South Korea","","","http://grbio.org/cool/01kx-hxik"
"http://grbio.org/institutional-collection/algae","Algae","A","University of Melbourne Herbarium","MELU<IH>","http://www.botany.unimelb.edu.au/herbarium/","","","Marine and Freshwater","Biological: Other or Undefined","Storage Environment: Other (please define)","Institutional","Active","","University of Melbourne Herbarium","School of Botany","","The University of Melbourne","Victoria","3010","Australia","University of Melbourne Herbarium","School of Botany","","The University of Melbourne","Victoria","3010","Australia","","","http://grbio.org/cool/q7yt-zfc0"
"http://grbio.org/institutional-collection/algae-0","Algae","ALG","Museum of Faculty of Fisheries, Ege University","ESFM","","","","Marine Algae","Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Institutional","Active","","Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey","Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey","","","http://grbio.org/cool/nrdb-67j3"
"http://grbio.org/institutional-collection/algae-freshwater","Algae (Freshwater)","ALGI","Museum of Faculty of Fisheries, Ege University","ESFM","","","","Freshwater algae","Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Institutional","Active","","Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey","Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey","","","http://grbio.org/cool/mrmd-3j13"
"http://grbio.org/institutional-collection/algae-and-fungi","Algae and Fungi","ALFU","Botanische Staatssammlung München","M<IH>","http://www.botanischestaatssammlung.de","","","","Biological: Other or Undefined","Storage Environment: Other (please define)","Institutional","Active","","Herbarium","Botanische Staatssammlung München","Menzinger Straße 67","München","","D-80638","Germany","Herbarium","Botanische Staatssammlung München","Menzinger Straße 67","München","","D-80638","Germany","","","http://grbio.org/cool/abpi-yzvd"
"http://grbio.org/institutional-collection/allan-herbarium","Allan Herbarium","CHR","Landcare Research","LCR","http://www.landcareresearch.co.nz","http://scd.landcareresearch.co.nz/","http://www.landcareresearch.co.nz/resources/collections/allan-herbarium","The Allan Herbarium contains species from around the world but specialises in indigenous and exotic plants of the New Zealand region and the South Pacific. There are over 620 000 specimens in the Allan Herbarium with 5000-8000 being added annually. Two-thirds of the specimens are of indigenous plants with the remainder divided between naturalised, cultivated, and foreign specimens. It also has specialist collections of seed, fruit, wood, plant leaf cuticle, liquid–preserved specimens, and microscope slides. The oldest samples are the 91 duplicate specimens collected by Joseph Banks and Daniel Solander during Captain James Cook´s first voyage to New Zealand, 1769–1770.","Biological: Other or Undefined","Storage Environment: Other (please define)","Institutional","Active","","Landcare Research","PO Box 40","","Lincoln 7640","","","New Zealand","Landcare Research Headquarters","Gerald Street","","Lincoln 7640","","","New Zealand","Ines Schönberger","","http://grbio.org/cool/vgyi-n1h2"
