"Name of Institution","Primary Contact","Mailing Address 1","Mailing Address 2","Mailing Address 3","City/Town","State/Province","Postal/Zip Code","Country"
"Academy of Natural Sciences, Botany Department","Alina Freire-Fierro","Botany Department","1900 Benjamin Franklin Parkway","","Philadelphia","Pennsylvania","19103","USA"
"Aging Tissue Bank","Hae Young Chung","30 Jangjeon-dong, Geumjeong-gu","","","Busan","Busan","609-735","South Korea"
"Agricultural Scientific Collections Unit","Peter Gillespie","Orange Agricultural Institute","Forest Road","","Orange","New South Wales,","2800","Australia"
"Agriculture and Agri-Food Canada Potato Research Station","Dr. Yvan Pelletier","Agriculture and Agri-Food Canada/Agriculture et Agroalimentaire Canada","Potato Research Centre","850 Lincoln Rd.","Fredericton","New Brunswick","E3B 4Z7","Canada"
"Agriculture and Agri-Food Canada, Kamloop, BC","Barbara Brooke","Grassland Applied Technology Centre","3015 Ord Road","","Kamloops","British Columbia","V2B 8A9","Canada"
"Algensammlung am Institut fur Botanik","Professor G. Gaertner","Sternwartestrasse 15, Innsbruck, A-6020","","","Innsbruck","Tyrol","6020","Austria"
"Angelo State Natural History Collection","Dr. Loren Ammerman, Curator of Frozen Tissues","Department of Biology","Angelo State Natural History Collection","Angelo State University","San Angelo","TX","76909","USA"
"Arachnology Division, Sacred Heart College","Dr. P.A. Sebastian","Division of Arachnology, Dept. of Zoology","","","Thevara, Cochin","Kerala","682013","India"
"Arthropods of Medical Importance Resource Bank","Kyoung Yong Jeong","Dept. of Environmental Medical Biology","Yonsei University - College of Medicine","","Seoul","Seoul","120-752","Korea"
"Asenovgrad Museum","Nikolai Spassov","","","","","","",""
"ATOLep Collection","Kim Mitter, Ph.D. (Collection Manager)","Department of Entomology","4112 Plant Sciences Building","University of Maryland","College Park","MD","20742-4454","USA"
"Australian Biological Tissue Collection, South Australian Museum","Prof. Stephen Donnellan","Evolutionary Biology Unit","South Australian Museum","North Terrace","Adelaide","","5000","Australia"
"Australian Museum","David Britton","6 College Street","","","Sydney","NSW","2010","Australia"
"Australian National Algae Culture Collection","Ian Jameson, Curator","CSIRO Marine and Atmospheric Research","GPO Box 1532","","Hobart","Tasmania","7001","Australia"
"Australian National Botanic Gardens","Brendan Lepschi, Curator","G.P.O. Box 1600","Australian National Herbarium","G.P.O. Box 1600","Canberra","Australian Capital Territory","2601","Australia"
"Australian National Botanic Gardens, specimens pre-1993","Brendan Lepschi, Curator","G.P.O. Box 1777","Herbarium","G.P.O. Box 1777","Canberra","Australian Capital Territory","2601","Australia"
"Australian National Fish Collection","Alastair Graham (Fish Collection Manager)","CSIRO Marine and Atmospheric Research","GPO Box 1538","","Hobart","Tasmania","7001","Australia"
"Australian National Insect Collection","Nicole Fisher","Black Mountain Laboratories","Clunies Ross Street","GPO Box 1700","Canberra City","Australian Capital Territory","ACT 2601","Australia"
"Australian National Wildlife Collection","Leo Joseph","GPO Box 284","","","Canberra","Australian Capital Territory","2601","Australia"
"Bank of Modified Nucleic Acid Systems","Won bo yeon","Department of Chemistry, Pohang University of Science and Technology San 31 Hyojadong, Pohang, Kyungbuk,790-784 Republic of Korea","","","Pohang","Kyongsangbuk-do","790-784","South Korea"
"Bavarian State Collection of Zoology","Prof. Dr. Gerhard Haszprunar","Zoologische Staatssammlung Muenchen","Muenchhausenstrasse 21","","81247 Muenchen","Bayern","81247","Germany"
"Biodôme de Montréal","Serge P&amp;eacute;pin","4777, Pierre-De Coubertin","","","Montréal","Québec","H1V 1B3","Canada"
"Biodiversity Institute of Ontario","Sally (Sarah) Adamowicz, Director of Collections","Biodiversity Institute of Ontario","University of Guelph","Grange Lane","Guelph","Ontario","N1G 1Y2","Canada"
"Biodiversity Research Museum, Academia Sinica, Taiwan","Pai-Lei, Lin","128 Sec. 2, Academia Rd","","","Taipei 115","","","Taiwan"
"Biology Centre of the Upper Austrian State Museum","Dr. Gerhard Aubrecht","","","","","","",""
"Biology Centre of the Upper Austrian State Museum - Herbarium","Doz. Dr. Martin Pfosser","Johann Wilhelm Klein Str. 73","","","Linz","Upper Austria","4040","Austria"
"Bishop Museum","Neal Evenhuis","1525 Bernice Street","","","Honolulu","Hawaii","96817-2704","USA"
"Bishop Museum, Botany Division","Barbara Kennedy","Department of Natural Sciences","1525 Bernice Street","","Honolulu","Hawaii","96817-2704","USA"
"Botanical Museum - University of Oslo","Charlotte Sletten Bjorå","Natural History Museum","P.O. Box 1172, Blindern","","NO-0318 Oslo","","","Norway"
"Botanische Staatssammlung München","Andreas  Beck","Menzinger Straße 67","Botanische Staatssammlung München","Menzinger Straße 67","D-80638 München","","D-80638","Germany"
"Botanischer Garten und Botanisches Museum Berlin-Dahlem, Zentraleinrichtung der Freien Universitaet","Robert Vogt, Curator","Königin-Luise-Strasse 6-8","","","D-14195 Berlin","","D-14195","Germany"
"Bovine Genome Resources Bank","Inho Choi","Bovine Genome Resources Bank","214 Dae-dong Yeungnam University","Kyeongbuk, Kyeongsan 712-749","Gyeongsan-si","GYEONGSANGBUK-DO KYUNGSAN","712-749","South Korea"
"Brassica Resource Bank","Prof. Yong Pyo Lim","Brassica Resources Bank(BRB)","","","Daejeon","Yuseong-gu, Gung-Dong","305-764","South Korea"
"Brigham Young University - S.L. Welsh Herbarium","N. Duane Atwood","375 MLBM","Brigham Young University","375 MLBM","Provo","Utah","84602-0200","USA"
"Brukenthal National Museum Museum of Natural History","Ghizela Vonica","Str. Cetatii, Nr. 1","","","Sibiu","n/a","550169","Romania"
"C.P. Gillette Museum of Arthropod Diversity","Dr. Boris C. Kondratieff, Director, C. P. Gillette Museum of Arthropod Diversity","Colorado State University","Department of Bioagricultural Sciences and Pest Management","","Fort Collins","Colorado","80523","USA"
"c/o North Queensland Naturalists' Club","","P.O. Box 991","","","Cairns","Queensland","4870","Australia"
"CABI Collection","J. C. David","Royal Botanic Gardens","Kew","","Richmond, Surrey","England","TW9 3AB","United Kingdom"
"California Academy of Sciences, Dudley Herbarium","Debra  Trock","Botany Department","55 Music Concourse Drive","","San Francisco","California","94118","USA"
"California State Collection of Arthropods","Stephen Gaimari","3294 Meadowview Rd.","Plant Pest Diagnostics Center","California Department of Food and Agriculture","Sacramento","CA","95832","USA"
