"URL","Collection Name","Institution Name","Institutional Code/Acronym","Collection Code","URL for collection","URL for collection's specimen catalog/database","URL for collection's webservices","Collection Description","Collection Content Type","Preservation Type","Accession Status (Yes=Institutional, No=Project)","Mailing Address 1","Mailing Address 2","Mailing Address 3","City/Town","State/Province","Postal/Zip Code","Country","Physical Address 1","Physical Address 2","Physical Address 3","City/Town","State/Province","Postal/Zip Code","Country","Primary Contact","Status of Collection: Active?","LSID"
"http://grbio.org/institutional-collection/r-sherwood-algal-biodiversity-laboratory","A. R. Sherwood Algal Biodiversity Laboratory","University of Hawaii at Manoa",,"ARS_HADB","http://algae.manoa.hawaii.edu","http://algae.manoa.hawaii.edu","http://algae.manoa.hawaii.edu","The Hawaiian Algal DataBase (HADB) hosts the biodiversity collections data of the University of Hawaii Algal Biodiversity Laboratory. The collections include morphological vouchers (herbarium sheets, liquid or dried vouchers) and DNA extracts (stored at -80 deg C) for Hawaiian algae, with a focus on macroalgae.",,,"Yes","Department of Botany","3190 Maile Way","c/o Dr. Alison Sherwood","Honolulu","Hawaii","96822","USA",,,,,,,"USA","Alison R. Sherwood","Yes",
"http://grbio.org/institutional-collection/acari-utrecht-collection","Acari - Utrecht Collection","National Museum of Natural History, Naturalis",,"ACA.UT","http://science.naturalis.nl/collections/collections-in-naturalis/invertebrates/p...",,,"Approximately 7000 vials and 1100 microscopic slides. Core of the collection: parasites from domesticated farm animals, pet animals, and parasites from wild/exotic/zoo animals collected at post mortem exams.","Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Yes","Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands","Darwinweg 2",,,"Leiden","Zuid-Holland","2333 CR","Netherlands",,"Yes",
"http://grbio.org/institutional-collection/acari-collection","Acari collection","National Museum of Natural History, Naturalis",,"ACA","http://science.naturalis.nl",,,"Subcollections are ACA.A till ACA.G, ACA.X containing tubes with alcohol and ACA.P, ACA.PX containing slides","Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Yes","Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands","Darwinweg 2",,,"Leiden","Zuid-Holland","2333 CR","Netherlands",,"Yes",
"http://grbio.org/institutional-collection/acariformes","Acariformes","Australian National Insect Collection",,"49",,,,"Mites","Biological: Other or Undefined","Storage Environment: Other (please define)","Yes",,,,,,,,,,,,,,,,"Yes",
"http://grbio.org/institutional-collection/agrobacterium","Agrobacterium","Ginseng Resource Bank",,"GBA","http://www.ginsengbank.org",,,,"Biological: Living cell or tissue cultures","Storage Environment: Other (please define)","Yes","Aejiwon, Kyung Hee university","1 Seocheon-dong, Giheung-gu",,"Yongin-si","Gyeonggi-do","446-701","South Korea","Aejiwon, Kyung Hee university","1 Seocheon-dong, Giheung-gu",,"Yongin-si","Gyeonggi-do","446-701","South Korea",,"Yes",
"http://grbio.org/institutional-collection/algae","Algae","University of Melbourne Herbarium",,"A","http://www.botany.unimelb.edu.au/herbarium/",,,"Marine and Freshwater","Biological: Other or Undefined","Storage Environment: Other (please define)","Yes","University of Melbourne Herbarium","School of Botany",,"The University of Melbourne","Victoria","3010","Australia","University of Melbourne Herbarium","School of Botany",,"The University of Melbourne","Victoria","3010","Australia",,"Yes",
"http://grbio.org/institutional-collection/algae-0","Algae","Museum of Faculty of Fisheries, Ege University",,"ALG",,,,"Marine Algae","Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Yes","Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey","Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey",,"Yes",
"http://grbio.org/institutional-collection/algae-freshwater","Algae (Freshwater)","Museum of Faculty of Fisheries, Ege University",,"ALGI",,,,"Freshwater algae","Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Yes","Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey","Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey",,"Yes",
"http://grbio.org/institutional-collection/algae-and-fungi","Algae and Fungi","Botanische Staatssammlung München",,"ALFU","http://www.botanischestaatssammlung.de",,,,"Biological: Other or Undefined","Storage Environment: Other (please define)","Yes","Herbarium","Botanische Staatssammlung München","Menzinger Straße 67","München",,"D-80638","Germany","Herbarium","Botanische Staatssammlung München","Menzinger Straße 67","München",,"D-80638","Germany",,"Yes",
"http://grbio.org/institutional-collection/allan-herbarium","Allan Herbarium","Landcare Research",,"CHR","http://www.landcareresearch.co.nz","http://scd.landcareresearch.co.nz/","http://www.landcareresearch.co.nz/resources/collections/allan-herbarium","The Allan Herbarium contains species from around the world but specialises in indigenous and exotic plants of the New Zealand region and the South Pacific. There are over 620 000 specimens in the Allan Herbarium with 5000-8000 being added annually. Two-thirds of the specimens are of indigenous plants with the remainder divided between naturalised, cultivated, and foreign specimens. It also has specialist collections of seed, fruit, wood, plant leaf cuticle, liquid–preserved specimens, and microscope slides. The oldest samples are the 91 duplicate specimens collected by Joseph Banks and Daniel Solander during Captain James Cook´s first voyage to New Zealand, 1769–1770.","Biological: Other or Undefined","Storage Environment: Other (please define)","Yes","Landcare Research","PO Box 40",,"Lincoln 7640",,,"New Zealand","Landcare Research Headquarters","Gerald Street",,"Lincoln 7640",,,"New Zealand","Ines Schönberger","Yes",
