"URL","Collection Name","Collection Code","Institution Name","URL for collection","URL for collection's specimen catalog/database","URL for collection's webservices","Collection Description","Collection Content Type","Preservation Type","Status of Collection","Access Eligibility and Rules","Mailing Address 1","Mailing Address 2","Mailing Address 3","City/Town","State/Province","Postal/Zip Code","Country","Physical Address 1","Physical Address 2","Physical Address 3","City/Town","State/Province","Postal/Zip Code","Country","Primary Contact","LSID","Cool URI"
"http://grbio.org/non-institutional-collection/john-t-longino","John T. Longino","JTLC","Personal Collection","","","","mainly Formicidae","Biological: Other or Undefined","Storage Environment: Other (please define)","Active","","Department of Biology","University of Utah","","Salt Lake City","UT","84112","USA","","","","","","","USA","John T. Longino","","http://grbio.org/cool/6zvf-j01n"
"http://grbio.org/non-institutional-collection/robert-c-dalgleish-personal-collection","Robert C. Dalgleish Personal Collection","RCDP","Personal Collection","http://www.phthiraptera.org/Phthirapterists/dalgleish/dalgleish.htm","","","All specimens in Canada Balsam on 1 x 3&quot; microscope slides","Biological: Other or Undefined","Storage Environment: Other (please define)","Active","","10601-G Tierrasanta Blvd.","PMB 110","","San Diego","CA","92124-2616","USA","10750 Escobar Drive","","","San Diego","CA","92124","USA","","","http://grbio.org/cool/ab82-k3bv"
"http://grbio.org/non-institutional-collection/insects-area-de-conservacion-guanacaste-acg-northwestern-costa-rica","Insects of the Area de Conservacion Guanacaste (ACG), northwestern Costa Rica","SRNP","Personal Collection","http://janzen.sas.upenn.edu","","","Pinned insects (dried) and alcohol preserved (refrigerated or frozen) specimens, images, collateral data and body parts.","Biological: Other or Undefined","Storage Environment: Other (please define)","Active","","Daniel Janzen","Department of Biology","University of Pennsylvania","Philadelphia","PA","19104","USA","Daniel Janzen","Department of Biology","University of Pennsylvania","Philadelphia","PA","19104","USA","","","http://grbio.org/cool/acre-04ks"
"http://grbio.org/non-institutional-collection/insects-area-conservacion-guanacaste-northwestern-costa-rica","Insects of the Area Conservacion Guanacaste, northwestern Costa Rica","SRNP","Personal Collection","","","","Collection of pinned insects (dried) and alcohol preserved (refrigerated or frozen)specimens, images, collateral data and body parts","","","Active","","Daniel Janzen","Department of Biology","University of Pennsylvania","Philadelphia","PA","19104","USA","Daniel Janzen","Department of Biology","University of Pennsylvania","Philadelphia","PA","19104","USA","","","http://grbio.org/cool/cvsb-5pxq"
"http://grbio.org/non-institutional-collection/gilbert-l-challet","Gilbert L. Challet","GLCC","Personal Collection","","","","This is a collection of the family Dytiscidae (Coleoptera:Insecta) consisting of 1850+species and 17,000 specimens.","Biological: Other or Undefined","Storage Environment: Other (please define)","Active","","30 Celonova Place","","","Foothill Ranch","California","92610","USA","30 Celonova Place","","","Foothill Ranch","California","92610","USA","","","http://grbio.org/cool/tzdx-kiav"
"http://grbio.org/non-institutional-collection/daniel-h-janzen-and-winnie-hallwachs-university-pennsylvania","Daniel H. Janzen and Winnie Hallwachs at University of Pennsylvania","DHJanzen and WHallwachs","Personal Collection","http://janzen.sas.upenn.edu/caterpillars/database.lasso","http://janzen.sas.upenn.edu/caterpillars/database.lasso","http://janzen.sas.upenn.edu/caterpillars/database.lasso","Database of adult moths, butterflies, caterpillars, and their parasitoids, from Area de Conservacion (ACG) in northwestern Costa Rica.    University of Pennsylvania is only a clearing house.  All specimens are in slow or fast transit for donation to to public institutional collections.  To know which is going where, contact us at djanzen@sas.upenn.edu and whallwac@sas.upenn.edu.   Primary specimen recipients are American Museum of Natural History, Monell Cryofacility (New York, N. Y.), National Museum of Natural History (Washington,D.C.), American Entomological Institute (Gainesville, Florida), McGuire Biodiversity Center (Gainesville, Florida), Canadian National Collection (Ottawa, Ontario), INBio (Santo Domingo de Heredia, Costa Rica), and others.    Specimens are either oven dried (pinned, spread, mounted) in the field in ACG in Costa Rica, or preserved in 95% ETOH and refrigerated or frozen (-20C) until later processing and deposition in an institutional collection.    Caterpillars and wild-caught adult Lepidoptera are individually voucher coded with a voucher code of the kind yy-SRNP-x to yy-SRNP-xxxxx if reared, or yy-SRNP-xxxxxx if wild-caught.  If parasites reared from a SRNP voucher, the parasite receives also its own individual voucher code of the format DHJPARxxxxxxx (though if it was a lot reared from one caterpillar, only the individuals selected from that lot for individual treatment receive the DHJPARxxxxxxx individual code.  It is hoped that the SRNP and DHJPAR acronyms will not be used by other collections to distinguish their voucher codes from others.","Biological: Other or Undefined","Storage Environment: Other (please define)","Active","","Department of Biology","University of Pennsylvania","3740 Hamilton Walk","Philadelphia","PA","19104-6018","USA","Department of Biology","University of Pennsylvania","3740 Hamilton Walk","Philadelphia","PA","19104-6018","USA","Daniel Janzen","","http://grbio.org/cool/kbdr-ke2k"
"http://grbio.org/non-institutional-collection/research-collection-matthew-jw-cock","Research Collection of Matthew J.W. Cock","MJWC","Personal Collection","not applicable","","","Lepidoptera, especially Trinidad and Tobago all families, Kenya Hesperiidae. Alternate contact email: m.cock@cabi.org","Biological: Other or Undefined","Storage Environment: Other (please define)","Active","","c/o CABI","Rue des Grillons 1","","Delemont","not applicable","CH-2800","Switzerland","Les Malettes","","","Montmelon","not applicable","CH-2883","Switzerland","","","http://grbio.org/cool/ghrg-a3zd"
"http://grbio.org/non-institutional-collection/lepidoptera-collection-valerio-sbordoni","Lepidoptera Collection of Valerio Sbordoni","VSRM","Personal Collection","http://www.zeb.uniroma2.it/index.htm","","","Butterfly collection including more than 80,000 set specimens, with emphasis on Palaearctic and Sino-Himalayan taxa, Pieridae, Papilionidae, Nymphalidae Satyrinae. mt DNA sequences available for several specimens.","Biological: Other or Undefined","Storage Environment: Other (please define)","Active","","Via di Grotta Rossa, 55","","","Roma","RM","00189","Italy","Via di Grotta Rossa, 55","Dipartimento di Biologia, Laboratorio Ecologia Sperimentale e Acquacoltura, Via Cracovia, 1. Roma","","Roma","RM","189","Italy","","","http://grbio.org/cool/mgef-x2xe"
"http://grbio.org/non-institutional-collection/benjamin-victors-marine-fishes-collection","Benjamin Victor's Marine Fishes Collection","BVictor","Personal Collection","www.coralreeffish.com","","","marine fishes of the world, primarily New World reef-associated species, preserved in ethanol","Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Active","","4051 Glenwood St.","","","Irvine","CA","92604","USA","4051 Glenwood St.","","","Irvine","CA","92604","USA","","","http://grbio.org/cool/q133-94mi"
"http://grbio.org/non-institutional-collection/personal-research-collection-dr-paul-thiaucourt","Personal Research Collection of Dr. Paul Thiaucourt","PTNOT","Personal Collection","NotApplicable","","","Focus on Neotropical notodontid moths (Lepidoptera: Notodontidae)","Biological: Other or Undefined","Storage Environment: Other (please define)","Active","","131 avenue de Versailles","","","Paris","NotApplicable","75016","France","131 avenue de Versailles","","","Paris","NotApplicable","75016","France","","","http://grbio.org/cool/6q2f-wrs4"
